,Emotions,Path
49,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-02-01-02-09.wav
50,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-01-01-02-09.wav
51,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-01-02-01-09.wav
52,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-01-02-02-09.wav
53,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-01-01-01-09.wav
54,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-01-02-01-09.wav
55,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-02-01-02-09.wav
56,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-02-01-01-09.wav
57,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-01-01-02-09.wav
58,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-01-01-01-09.wav
59,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-02-02-02-09.wav
60,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
62,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
65,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
68,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
69,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
72,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
73,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
75,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
76,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
77,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
78,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
79,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
82,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
84,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
86,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
87,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
88,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
89,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
90,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
91,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
92,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
93,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
94,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
95,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
96,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
97,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
98,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
99,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
100,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
101,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
102,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
103,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
104,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
105,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
106,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
107,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
108,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
109,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
110,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
111,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
112,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
113,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
114,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
115,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
116,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
117,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
118,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
119,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
122,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-02-01-02-19.wav
123,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-02-02-01-19.wav
125,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-01-02-02-19.wav
126,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-02-01-01-19.wav
127,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-01-01-01-19.wav
131,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-01-01-01-19.wav
133,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-02-02-02-19.wav
137,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-01-02-01-19.wav
140,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-03-01-01-02-19.wav
141,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-02-02-02-19.wav
142,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-02-01-02-19.wav
143,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-02-01-01-19.wav
144,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-01-01-02-19.wav
145,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-02-02-02-19.wav
146,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-02-02-01-19.wav
147,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-01-02-01-19.wav
148,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-02-02-02-19.wav
149,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-02-01-01-19.wav
150,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-01-01-01-19.wav
151,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-01-02-01-19.wav
152,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-02-02-01-19.wav
153,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-02-02-02-19.wav
154,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-02-01-01-19.wav
155,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-02-02-02-19.wav
156,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-02-01-02-19.wav
157,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-01-02-02-19.wav
158,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-01-02-02-19.wav
159,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-02-02-01-19.wav
160,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-01-01-02-19.wav
161,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-01-01-01-19.wav
162,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-01-01-01-19.wav
163,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-02-02-01-19.wav
164,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-01-01-01-19.wav
165,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-02-01-02-19.wav
166,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-02-02-01-19.wav
167,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-01-02-01-19.wav
168,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-01-02-01-19.wav
169,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-01-01-02-19.wav
170,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-02-01-02-19.wav
171,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-01-01-02-19.wav
172,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-08-02-01-01-19.wav
173,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-01-02-02-19.wav
174,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-02-01-02-19.wav
175,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-07-01-02-01-19.wav
176,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-04-02-01-01-19.wav
177,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-06-01-02-02-19.wav
178,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-01-02-02-19.wav
179,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_19/03-01-05-01-01-02-19.wav
181,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
186,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
188,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
191,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
194,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-02-04.wav
196,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
198,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
199,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-02-04.wav
200,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-02-04.wav
201,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
202,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
203,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
204,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
205,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
206,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-01-04.wav
207,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-01-04.wav
208,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
209,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-02-04.wav
210,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-01-04.wav
211,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
212,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
213,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
214,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
215,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
216,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
217,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
218,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
219,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
220,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
221,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
222,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
223,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
224,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-02-04.wav
225,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
226,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
227,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-01-04.wav
228,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
229,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
230,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
231,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
232,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-02-04.wav
233,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-01-04.wav
234,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-01-04.wav
235,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-02-04.wav
236,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
237,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
238,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
239,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
240,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-02-02-01-07.wav
241,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-02-02-02-07.wav
242,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-01-01-02-07.wav
243,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-01-01-01-07.wav
244,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-02-02-02-07.wav
246,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-01-01-02-07.wav
247,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-01-02-02-07.wav
254,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-02-02-01-07.wav
255,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-02-01-02-07.wav
256,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-02-01-01-07.wav
257,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-01-02-02-07.wav
258,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-02-02-02-07.wav
259,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-01-01-02-07.wav
260,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-02-01-02-07.wav
261,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-02-02-01-07.wav
263,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-02-01-01-07.wav
264,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-02-01-02-07.wav
265,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-01-01-02-07.wav
266,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-02-01-02-07.wav
268,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-02-01-01-07.wav
269,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-01-02-02-07.wav
270,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-01-02-01-07.wav
271,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-01-02-01-07.wav
272,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-01-01-01-07.wav
273,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-01-02-01-07.wav
274,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-02-01-01-07.wav
276,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-03-01-02-02-07.wav
277,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-01-02-01-07.wav
279,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-01-01-01-07.wav
280,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-04-02-02-01-07.wav
281,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-06-02-02-02-07.wav
282,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-01-01-01-07.wav
284,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-05-01-01-02-07.wav
285,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-01-01-01-07.wav
286,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-01-01-01-07.wav
287,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-01-02-02-07.wav
288,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-02-01-01-07.wav
289,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-01-02-02-07.wav
290,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-02-02-02-07.wav
291,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-02-02-01-07.wav
292,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-01-02-01-07.wav
293,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-01-02-01-07.wav
294,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-02-01-01-07.wav
295,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-02-01-02-07.wav
296,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-01-01-02-07.wav
297,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-07-02-01-02-07.wav
298,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-02-02-02-07.wav
299,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_07/03-01-08-02-02-01-07.wav
301,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_05/03-01-03-01-01-01-05.wav
313,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_05/03-01-07-02-01-02-05.wav
314,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_05/03-01-05-01-02-02-05.wav
